SrI jAnakIdEvi sImanta malare|missamma|anandabhairavi
SrIpati sutu bAriki|mahAkavi kshEtrayya|anandabhairavi
rAga sudhArasa pAnamu jEsi|missamma|andolika
SrI kAminI kAmitAkAra|pAnDuranga mahAtmyam|arabhi
hE pArvatInadha kailAsa|sItArAma kalyANam|arabhi
tapamu phalinchina SubhavELa|SrI kRshNarjuna yuddham|arabhi
bAla kanakamaya chEla|sAgara sangamam|athana
jOhAru Sikhipincha mauLI|SrI kRshNa vijayamu|athana
OsOsi bangAru piccukA paluka lEni|bangAru picchuka|athana
rArA kanarAra karuNa mAlinArA|jagadEka vIruni katha|bageshri
manTalu rEpe nelarAja|rAmu|bageshri
nI kOsame nE jIvinchunadi|mAyA bajAr|bageshri
kila kila nagavula nava mOhini|vasantasEna|bageshri
nAda vinOdamu nATya vilAsamu|sAgara sangamam|bageshri
nagumOmu jUpinchavA gOpAla|amara Silpi jakkana|bageshri
andAlu chindu sImalo|SObha|bageshri
kanumUsinA kanipinchE nijamidErA|santAnam|bauli
vinnapAlu vinavale vinta vintalu|anurAgam|bauli
toli sandhya vELalO toli poddu|sItArAmulu|bauli
naDi rEyi gaDichEne cheliyA rADAye|jayasimha|begada
sarvajna nAmadhEyamu|bhakta pOtana|begada
idemana ASramambu|lavakuSa|begada
evaravayA evaravayA I divya|vinAyaka vijayam|begada
varamosagE vanamAli|bhakta prahlAda|behag
O nela rAjA vennela rAjA|bhaTTi vikramArka|bhimpalas
kalagA kammani kalagA|SrI vEnkaTESwara mahAtmyam|bhimpalas
pAhi harE pari pAhi harE|SrI vEnkaTESwara mahAtmyam|bhimpalas
yAramitA vanamAlina|bhakta jayadEva|bhimpalas
yEnta madhuram I kshaNam yenta|mahAtmuDu|bhimpalas
ee jIvitamE saphalamu|anArkali|bhimpalas
nA kuTIramandu naDayADu|SrI vEnkaTESwara mahAtmyam|bhup
mElukO SrI rAmA mElukO raghu|SrI rAmAnjanEya yuddham|bhupala
lakshmI nivAsa niravadya guNaika|SrI vEnkaTESwara mahAtmyam|bhupala
evaru nErpEramma I kommaku|InATi bandham EnATidO|bilahari
EdO Edo annadi ee masaka veluturu|mutyAla muggu|bilahari
nI tOne AgenA sangItam|rudravINa|bilahari
bhaLirA ennaDu jArenI bhuviki|mallISwari|bilahari
koLLAyunchiti kOka chuTTiti|bhakta pOtana (1966)|bilahari
O priyurAla O javarAla|chakrapANi|brndavanasaranga
chUpulu kalasina SubhavELa|mAyA bajAr|brndavanasaranga
nI lIlalOnE oka hAyilE|umA chanDi gauri Sankarula katha|brndavanasaranga
idi nA priya nartana vELa|mayUri|brndavanasaranga
navvavE navamallikA|sundarakAnDa|candrakauns
aNuvu aNuvuna velasina dEva|mAnavuDu dAnavuDu|candrakauns
vidhi vanchitulai vibhavamuvIDi|pAnDava vanavAsam|chakravakam
chIkaTilO kAru chIkaTilO|manushulu mArAli|chakravakam
yevarikevaru I lOkamlO evariki|siri siri muvva|chakravakam
yEDu konDalavADA O venkaTA ramaNa|peLLi chEsi chUDu|chakravakam
rAdhaku nIvEra prANam|tulAbhAram|chakravakam
vINalOna tIgalOna|chakravAkam|chakravakam
jagamE rAma mayam|kathAnayaki molla|chakravakam
I pagalu rEyigA panDuvennelaga|siri sampadalu|charukesi
evarO I navanATaka sUtradhArulu|peLLi chEsi chUDu|charukesi
bhaLi bhaLi bhaLi bhaLi dEva|mAyA bajAr|charukesi
