raga_name|kriti_name|composer_name|Link
todi|Kartikeya Gangeya|Papanasam Sivan|
todi|Karunanidhi Ilalo Nivanucunu|Shyama Sastri|
todi|Karuna Judavamma|Tyagaraja|
todi|Koluvamaregada Kodandapani|Tyagaraja|
todi|Koti Nadulu Dhanuskotilo|Tyagaraja|
todi|Krpalaya Shri Guru Madhvaraya|Mysore Sadashiva Rao|
todi|Maha Ganapatim Vande|Muthuswami Dikshitar|
todi|Mama Kuleshvaram|G. N. Balasubramaniam|
todi|Mandaradharasundara|Swathi Thirunal Rama Varma|
todi|Marakatamani Nila|Lalitha Dasa|
todi|Ma Ma Ni Ni|M. Balamuralikrishna|
todi|Meenalocani Amba|Muthiah Bhagavatar|
todi|Munnu Ravana Badha Norvaka|Tyagaraja|
todi|Nannu Brocutaku|Subbaraya Sastri|
todi|Ne Morabettite Madilona|Tyagaraja|
todi|Ninne Namminanu Sada|Shyama Sastri|
todi|Ninnu Vina Sukhamu Gana|Tyagaraja|
todi|Nivanti Daivamu Sadanana|Tyagaraja|
todi|Ni Daya Ravalegaka Nenenta|Tyagaraja|
todi|Palaya Mam Brhadishvari|Muthuswami Dikshitar|
todi|Pankajaksanam|Swathi Thirunal Rama Varma|
todi|Pankajaksa Tava|Swathi Thirunal Rama Varma|
todi|Paratpara Raghuvara|Mysore Vasudevachar|
todi|Ragam Tanam Pallavi|Own/others|
todi|Raju Vedale Jutamu Rare|Tyagaraja|
todi|Ramacandraya Namaste|Muthuswami Dikshitar|
todi|Rama Daivashikhamanee|Bhadrachala Ramadasu|
todi|Rara Vasudeva|Venkataramana Bhagavathar|
todi|Rave Himagiri Kumari|Shyama Sastri|
todi|Re Manasa Cintaya Shri|Tyagaraja|
todi|Rupamu Juci Valaci Vaccitini|Muthuswami Dikshitar|
todi|Sadasiva Bhajaname|Papanasam Sivan|
todi|Sami Ninne Koriyunnanura|Patnam Subramania Iyer|
todi|Saraguna Gavumu-varnam|M. Balamuralikrishna|
todi|Sarasijanabhamurare|Swathi Thirunal Rama Varma|
todi|Shri Kamalambike|Subbaraya Sastri|
todi|Shri Krsnam Bhaja Manasa|Muthuswami Dikshitar|
todi|Shri Subrahmanyo Mam Rakshatu|Muthuswami Dikshitar|
todi|Shri Venkatesham Vara|Poochi Srinivasa Iyengar|
todi|Sriramacandra Disa|Swathi Thirunal Rama Varma|
todi|Sudhanidhe Mamava|M. Balamuralikrishna|
todi|Taaye Yashodaa|Oothukkadu Venkata Kavi|
todi|Tamadamen Svami|Papanasam Sivan|
todi|Tanikai Valar|Papanasam Sivan|
todi|Tanikeshanai Panindu|Papanasam Sivan|
todi|Tappi Bratiki Pova Tarama|Tyagaraja|
todi|Tedittedi|Ambujam krishna|
todi|Telisu Kolumanna|M. Balamuralikrishna|
todi|Tillana|Poochi Srinivasa Iyengar|
todi|Varidhi Niku Vandana|Tyagaraja|
todi|Vedalenu Kodandapani|Tyagaraja|
todi|Vedaranyeshvaraya Namaste|Muthuswami Dikshitar|
todi|Vel Edutta Kaiye|Periyasaamy Thooran|
todi|Venugana Ramana|Oothukkadu Venkata Kavi|
varali|Dharanu Ni Saridaivamu|Tyagaraja|
varali|Dikku Verillai|Papanasam Sivan|
varali|Engini Shelven|Ambujam krishna|
varali|Eti Janmam Idiha O Rama|Tyagaraja|
varali|I Menu Galiginanduku|Tyagaraja|
varali|Kamaksi Bangaru Kamaksi|Shyama Sastri|
varali|Kanakana Rucira Kanakavasana|Tyagaraja|
varali|Karunai Puri Idu|Neelakanta Sivan|
varali|Karuna Elagante Ni Vidhame|Tyagaraja|
varali|Karuna Judavamma Vinavamma|Shyama Sastri|
varali|Ka Va Va Kanda Va Va|Papanasam Sivan|
varali|Lambodaraya Namaste|Muthuswami Dikshitar|
varali|Mamava Minaksi Rajamatangi|Muthuswami Dikshitar|
varali|Mamava Padmanabham|Swathi Thirunal Rama Varma|
varali|Marakata Mani Varna|Tyagaraja|
varali|Ne Pogadakunte Nikemi|Tyagaraja|
varali|Noremi Shri Rama Ninnada|Tyagaraja|
varali|Pahi Paramatma Dayalo|Tyagaraja|
varali|Pahi Rama Ramana Mam|Tyagaraja|
varali|Ragam Tanam Pallavi|Own/others|
varali|Shesacala Nayakam Bhajami|Muthuswami Dikshitar|
varali|Shri Rama Shri Rama|Tyagaraja|
varali|Vanajaksa Nive Gatiyani|Poochi Srinivasa Iyengar|
hindolam|Abhaya Varade Sharade|Indira Natesan|
hindolam|Chandrashekhara Sarasvatiye|Maharajapuram Santhanam|
hindolam|Cintayami Jagadambam|Jayachamarajendra Wadiyar|
hindolam|Dhimnana Ta Dhirana-tillana|M. Balamuralikrishna|
hindolam|Dhim Tananana-tillana|Mysore Vasudevachar|
hindolam|Eka Radanam|R. Ramachandran Nair|
hindolam|Gana Rasike Gana Verevaru|M. Balamuralikrishna|
hindolam|Govardhana Girisham|Muthuswami Dikshitar|
